Label ID,Name,Specialization,Status,Country,Website,Online Shopping
39676,Metal AOR,,unknown,,,
3568,Meret,,closed,,,
60269,Metal Army,Licensed Brazilian releases of Extreme Metal bands,active,Brazil,https://www.metalarmy.com.br/,Yes
52295,Metal Army Productions,"Horror Punk, Thrash Metal, Melodic Death Metal, Avant-garde Metal",changed name,United States,,
34394,Metal Art,,unknown,Austria,,
28043,Metal Art Disco,"Pop, Electro, Avant-Garde Music",unknown,Norway,,
5667,Metal Assault Recordings,,closed,Canada,,
33061,Metal Assault Records,,closed,United Kingdom,,
48708,Metal Assault Records,"Hard Rock, Metal",active,United States,http://metalassault.com/,Yes
26597,Metal Attack Records,,closed,,,
34024,Metal Attack Records,,closed,Latvia,,
58906,Metal Attack Records,Metal,active,Bulgaria,https://www.metal-attack.net/,Yes
52143,Metal Attack Studio,,active,Colombia,,
5668,Metal Axe Records,,closed,Germany,,
16358,Metal Barn,,closed,,,
38852,Metal Bastard Records,"Heavy, Power, Black, Death Metal, Punk Rock, Oi!, RAC",active,Spain,http://www.metal-bastard.com/,Yes
43315,Metal Béret Distribution,,active,France,http://mberetdistribution.free.fr/,Yes
